name,artist,key,mode,danceability,acousticness,energy,instrumentalness,loudness,speechiness,tempo,valence
ライラック,Mrs. GREEN APPLE,10,1,0.531,0.0176,0.794,0,-4.363,0.0964,149.923,0.775
familie,Mrs. GREEN APPLE,9,1,0.67,0.0516,0.827,0,-4.481,0.0797,95.472,0.761
インフェルノ,Mrs. GREEN APPLE,4,1,0.533,0.00894,0.918,0,-2.095,0.0616,92.504,0.662
ケセラセラ,Mrs. GREEN APPLE,6,0,0.756,0.0306,0.578,0,-4.575,0.0327,115.004,0.677
青と夏,Mrs. GREEN APPLE,4,1,0.31,0.00157,0.891,0,-1.66,0.0469,184.886,0.748
ダンスホール,Mrs. GREEN APPLE,7,1,0.736,0.0209,0.695,0,-3.87,0.0468,109.976,0.784
Soranji,Mrs. GREEN APPLE,5,1,0.48,0.0693,0.669,0,-5.168,0.0431,155.89,0.378
点描の唄,Mrs. GREEN APPLE,0,1,0.502,0.447,0.631,0,-4.612,0.0272,152.015,0.31
Magic,Mrs. GREEN APPLE,7,1,0.671,0.0604,0.758,0,-3.793,0.0474,117.51,0.537
コロンブス,Mrs. GREEN APPLE,1,0,0.688,0.0293,0.894,0,-4.181,0.0425,106.983,0.937
